TransactionID,id_01,id_12,id_31,DeviceType,DeviceInfo
2987366,0.0,Found,mobile safari 11.0,mobile,iOS Device
2987367,-5.0,NotFound,firefox,desktop,rv:52.0
2987368,-20.0,NotFound,mobile safari 11.0,mobile,
2987374,-5.0,NotFound,safari generic,desktop,MacOS
2987376,-5.0,NotFound,safari generic,desktop,MacOS
2987380,-20.0,NotFound,mobile safari 11.0,mobile,
2987384,-5.0,NotFound,chrome 62.0,desktop,
2987386,0.0,NotFound,chrome 60.0 for android,mobile,SM-G950U Build/NRD90M
2987387,0.0,NotFound,chrome 62.0 for android,mobile,LG-H872 Build/NRD90U
2987389,0.0,NotFound,safari generic,desktop,MacOS
2987390,0.0,NotFound,safari generic,desktop,MacOS
2987398,0.0,NotFound,chrome 62.0 for android,mobile,LG-K500 Build/MMB29M
2987404,-5.0,NotFound,mobile safari 10.0,mobile,iOS Device
2987405,-20.0,NotFound,mobile safari 11.0,mobile,
2987406,-5.0,NotFound,mobile safari 10.0,mobile,iOS Device
2987408,-5.0,Found,mobile safari 10.0,mobile,iOS Device
2987412,-5.0,NotFound,chrome 62.0,desktop,Windows
2987416,-5.0,NotFound,mobile safari 10.0,mobile,iOS Device
2987425,-5.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987429,-5.0,NotFound,chrome 62.0,desktop,Windows
2987433,-5.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987434,-5.0,Found,mobile safari 10.0,mobile,iOS Device
2987435,0.0,NotFound,edge 14.0,desktop,Windows
2987437,-5.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987438,0.0,NotFound,mobile safari generic,mobile,
2987439,0.0,NotFound,chrome 62.0 for android,mobile,SM-P550 Build/MMB29M
2987443,-20.0,NotFound,mobile safari 11.0,mobile,
2987446,-5.0,Found,edge 15.0,desktop,Windows
2987449,0.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987455,0.0,NotFound,edge 14.0,desktop,Windows
2987456,0.0,NotFound,chrome 61.0 for android,mobile,SM-J700M Build/MMB29K
2987457,0.0,NotFound,ie 11.0 for desktop,desktop,Trident/7.0
2987461,0.0,Found,firefox 57.0,desktop,rv:57.0
2987462,0.0,Found,edge 14.0,desktop,Windows
2987463,0.0,NotFound,chrome 62.0 for android,mobile,SM-G950U Build/NRD90M
2987465,-20.0,NotFound,mobile safari 11.0,mobile,
2987466,-5.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987467,-40.0,NotFound,samsung browser 6.2,mobile,SAMSUNG SM-G930T Build/NRD90M
2987469,-5.0,Found,chrome 62.0 for ios,mobile,iOS Device
2987476,-10.0,NotFound,chrome 62.0,desktop,Windows
2987482,-5.0,NotFound,chrome 62.0,desktop,Windows
2987485,-5.0,NotFound,safari generic,desktop,MacOS
2987488,-5.0,NotFound,chrome 62.0,desktop,Windows
2987489,0.0,NotFound,chrome 62.0 for android,mobile,Blade V6 Plus Build/MRA58K
2987490,-5.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987499,-20.0,NotFound,chrome 62.0,desktop,Windows
2987501,0.0,NotFound,chrome 62.0,desktop,
2987504,-5.0,NotFound,chrome 62.0,desktop,Windows
2987505,-5.0,Found,safari generic,desktop,MacOS
2987508,0.0,Found,edge 14.0,desktop,Windows
2987514,-5.0,NotFound,safari generic,desktop,MacOS
2987515,0.0,NotFound,ie 11.0 for tablet,desktop,Trident/7.0
2987517,-40.0,NotFound,chrome 62.0 for android,mobile,BLL-L23 Build/HUAWEIBLL-L23
2987520,-5.0,Found,mobile safari 9.0,mobile,iOS Device
2987521,0.0,NotFound,chrome generic,mobile,KYOCERA-C6742A Build/LMY47V
2987523,0.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987524,0.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987528,0.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987529,0.0,Found,mobile safari 11.0,mobile,iOS Device
2987531,0.0,Found,mobile safari 11.0,mobile,iOS Device
2987532,-5.0,NotFound,safari generic,desktop,MacOS
2987535,-5.0,NotFound,chrome 62.0,desktop,Windows
2987543,-5.0,NotFound,firefox 57.0,desktop,Windows
2987544,-5.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987547,-5.0,NotFound,chrome 62.0,desktop,
2987550,-20.0,NotFound,mobile safari 11.0,mobile,
2987551,0.0,NotFound,chrome 62.0 for android,mobile,F3113 Build/33.2.A.4.70
2987552,0.0,NotFound,ie 11.0 for desktop,desktop,Trident/7.0
2987553,-20.0,NotFound,mobile safari 10.0,mobile,
2987555,-5.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987556,-5.0,NotFound,chrome 62.0,desktop,Windows
2987558,-5.0,NotFound,mobile safari generic,mobile,iOS Device
2987560,-5.0,NotFound,chrome 62.0,desktop,Windows
2987563,-5.0,NotFound,chrome 62.0,desktop,Windows
2987571,-5.0,NotFound,chrome 62.0,desktop,Windows
2987576,-5.0,NotFound,mobile safari generic,mobile,iOS Device
2987577,-5.0,NotFound,chrome 62.0,desktop,Windows
2987579,0.0,NotFound,chrome 62.0 for android,mobile,D5306 Build/19.4.A.0.182
2987582,-5.0,NotFound,chrome 62.0,desktop,Windows
2987584,-5.0,NotFound,chrome 62.0,desktop,Windows
2987585,-5.0,NotFound,edge 15.0,desktop,Windows
2987590,-5.0,NotFound,chrome 62.0,desktop,Windows
2987592,-5.0,NotFound,chrome 62.0,desktop,Windows
2987596,-5.0,NotFound,chrome 62.0,desktop,Windows
2987598,-5.0,NotFound,ie 11.0 for desktop,desktop,Trident/7.0
2987601,-5.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987602,-5.0,NotFound,chrome 62.0,desktop,Windows
2987603,-5.0,Found,chrome 62.0,desktop,Windows
2987605,-5.0,NotFound,chrome 62.0,desktop,Windows
2987607,-5.0,NotFound,chrome 62.0,desktop,Windows
2987608,0.0,Found,chrome generic,mobile,KYOCERA-C6742A Build/LMY47V
2987610,0.0,NotFound,mobile safari 10.0,mobile,iOS Device
2987612,-30.0,NotFound,chrome 62.0,desktop,Windows
2987613,-5.0,NotFound,chrome 61.0,desktop,
2987617,0.0,NotFound,chrome 62.0 for android,mobile,M4 SS4457 Build/MRA58K
2987618,-30.0,NotFound,chrome 62.0,desktop,Windows
2987620,0.0,NotFound,chrome 62.0 for android,mobile,SM-G955U Build/NRD90M
2987621,0.0,NotFound,safari generic,desktop,MacOS
2987623,-5.0,NotFound,chrome 62.0,desktop,Windows
2987625,0.0,NotFound,other,mobile,SM-G610M Build/MMB29K
2987630,-25.0,NotFound,firefox 57.0,desktop,Windows
2987633,-15.0,NotFound,,,
2987635,-5.0,Found,chrome 62.0,desktop,Windows
2987637,-5.0,NotFound,chrome 62.0,desktop,Windows
2987638,-20.0,NotFound,mobile safari 11.0,mobile,
2987639,-5.0,NotFound,chrome 62.0,desktop,
2987641,0.0,NotFound,samsung browser 6.2,mobile,SAMSUNG SM-G935F Build/NRD90M
2987643,-5.0,Found,chrome 62.0,desktop,Windows
2987648,-5.0,NotFound,edge 15.0,desktop,Windows
2987653,-5.0,NotFound,chrome 61.0,desktop,Windows
2987660,-5.0,NotFound,firefox 57.0,desktop,
2987664,-5.0,NotFound,ie 11.0 for desktop,desktop,Trident/7.0
2987666,-20.0,NotFound,mobile safari 11.0,mobile,
2987668,-5.0,NotFound,firefox 57.0,desktop,
2987672,0.0,NotFound,ie 11.0 for desktop,desktop,Trident/7.0
2987681,-5.0,NotFound,firefox 57.0,desktop,
2987683,-5.0,NotFound,firefox 57.0,desktop,Windows
2987686,-5.0,NotFound,chrome 62.0,desktop,
2987689,-5.0,NotFound,chrome 62.0,desktop,Windows
2987692,-5.0,NotFound,chrome 62.0,desktop,
2987693,-5.0,NotFound,firefox 57.0,desktop,
2987694,0.0,NotFound,chrome 62.0,desktop,MacOS
2987696,0.0,NotFound,chrome 59.0 for android,mobile,SM-G610M Build/MMB29K
2987698,0.0,Found,chrome 62.0,desktop,MacOS
2987710,-5.0,NotFound,firefox 57.0,desktop,
2987712,-5.0,Found,chrome 62.0,desktop,Windows
2987718,0.0,NotFound,chrome 62.0 for android,mobile,XT1635-01
2987724,-5.0,NotFound,chrome 62.0,desktop,Windows
2987726,-5.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987730,-5.0,NotFound,chrome 62.0,desktop,Windows
2987732,0.0,NotFound,safari generic,desktop,MacOS
2987733,-5.0,NotFound,edge 15.0,desktop,Windows
2987739,-5.0,NotFound,firefox 56.0,desktop,rv:56.0
2987741,0.0,NotFound,chrome 62.0 for android,mobile,SM-G950U Build/NRD90M
2987743,-5.0,NotFound,chrome 62.0,desktop,Windows
2987746,0.0,NotFound,chrome 62.0,desktop,
2987747,-10.0,NotFound,firefox 57.0,desktop,
2987748,0.0,NotFound,safari generic,desktop,MacOS
2987750,-20.0,NotFound,safari generic,desktop,
2987751,-5.0,NotFound,chrome 62.0,desktop,Windows
2987752,0.0,NotFound,chrome 62.0,desktop,Windows
2987754,0.0,NotFound,android webview 4.0,mobile,VS500
2987758,-55.0,NotFound,chrome 62.0 for android,mobile,CAM-L03 Build/HUAWEICAM-L03
2987763,-20.0,NotFound,chrome 62.0 for android,mobile,RCT6303W87M7 Build/MRA58K
2987766,-5.0,NotFound,chrome,mobile,M4 SS4451 Build/LMY47D
2987768,-45.0,NotFound,chrome 62.0,desktop,
2987769,-5.0,NotFound,chrome 62.0,desktop,Windows
2987771,0.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987774,0.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987777,-5.0,NotFound,chrome 62.0,desktop,Windows
2987779,-5.0,NotFound,chrome generic,mobile,KFFOWI Build/LVY48F
2987780,0.0,Found,chrome generic,mobile,KFFOWI Build/LVY48F
2987781,0.0,Found,chrome generic,mobile,KFFOWI Build/LVY48F
2987785,-5.0,NotFound,mobile safari 10.0,mobile,iOS Device
2987788,-5.0,Found,mobile safari 10.0,mobile,iOS Device
2987789,0.0,NotFound,mobile safari generic,mobile,
2987790,0.0,NotFound,firefox 56.0,desktop,rv:56.0
2987791,-10.0,NotFound,firefox 57.0,desktop,
2987792,0.0,NotFound,chrome generic,mobile,Moto E (4) Build/NMA26.42-19
2987795,0.0,NotFound,samsung browser 6.2,mobile,SAMSUNG
2987796,0.0,NotFound,chrome 62.0 for android,mobile,SM-G930V Build/NRD90M
2987800,0.0,NotFound,chrome 62.0 for android,mobile,E2306 Build/26.3.A.1.33
2987804,0.0,NotFound,chrome 62.0,desktop,
2987815,-5.0,NotFound,chrome 62.0,desktop,Windows
2987819,-20.0,NotFound,mobile safari 9.0,mobile,
2987820,-30.0,NotFound,chrome 55.0,desktop,Windows
2987821,-5.0,NotFound,safari generic,desktop,MacOS
2987825,0.0,NotFound,chrome 62.0 for android,mobile,Ilium L910 Build/MRA58K
2987828,-20.0,NotFound,chrome 62.0,desktop,Windows
2987829,-5.0,Found,chrome 61.0,desktop,Windows
2987831,-5.0,Found,mobile safari 11.0,mobile,iOS Device
2987834,-5.0,NotFound,chrome 62.0,desktop,Windows
2987837,0.0,NotFound,chrome 62.0 for android,mobile,SM-J700M Build/MMB29K
2987838,-5.0,NotFound,chrome 62.0,desktop,Windows
2987839,-30.0,NotFound,chrome 55.0,desktop,Windows
2987844,-20.0,NotFound,chrome 62.0,desktop,Windows
2987847,-5.0,NotFound,chrome 62.0,desktop,MacOS
2987848,0.0,NotFound,chrome 62.0 for android,mobile,GT-I9300
2987849,-5.0,NotFound,chrome 62.0,desktop,Windows
2987850,-5.0,NotFound,edge 15.0,desktop,Windows
2987853,-30.0,NotFound,chrome 55.0,desktop,Windows
2987854,-5.0,NotFound,chrome 62.0,desktop,Windows
2987855,0.0,NotFound,mobile safari generic,mobile,iOS Device
2987857,-5.0,NotFound,other,mobile,LG-H420 Build/LRX21Y
2987862,-5.0,NotFound,firefox 57.0,desktop,Windows
2987868,-5.0,NotFound,opera 49.0,desktop,
2987869,0.0,NotFound,ie,desktop,Windows NT 6.2
2987872,0.0,NotFound,chrome 55.0 for android,mobile,XT1032 Build/LPBS23.13-56-2
2987873,-5.0,NotFound,chrome 62.0,desktop,Windows
2987885,0.0,NotFound,chrome 62.0 for android,mobile,GT-I9060M Build/KTU84P
2987886,-20.0,NotFound,mobile safari 10.0,mobile,
2987887,-20.0,NotFound,mobile safari 11.0,mobile,
2987893,0.0,NotFound,chrome 62.0,desktop,
2987895,-5.0,NotFound,ie 11.0 for desktop,desktop,Trident/7.0
2987900,0.0,NotFound,ie 11.0 for desktop,desktop,Trident/7.0
2987901,-25.0,NotFound,mobile safari 11.0,mobile,
2987907,0.0,NotFound,chrome 62.0 for ios,mobile,iOS Device
2987912,-15.0,NotFound,,,
2987917,-15.0,NotFound,,,
2987926,-20.0,NotFound,chrome 62.0,desktop,
2987928,0.0,NotFound,ie 11.0 for desktop,desktop,Trident/7.0
2987929,-5.0,NotFound,chrome 62.0,desktop,Windows
2987938,0.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987951,-5.0,NotFound,edge 15.0,desktop,Windows
2987957,0.0,NotFound,firefox,desktop,rv:38.0
2987964,0.0,NotFound,chrome generic,mobile,Moto G (4) Build/NPJS25.93-14-10
2987965,0.0,NotFound,mobile safari 11.0,mobile,iOS Device
2987968,-20.0,NotFound,mobile safari 11.0,mobile,
2987969,0.0,Found,mobile safari 11.0,mobile,iOS Device
2987972,-15.0,NotFound,,,
2987989,-5.0,NotFound,firefox 57.0,desktop,Windows
2988008,-5.0,NotFound,chrome 62.0,desktop,Windows
2988015,-5.0,NotFound,mobile safari 11.0,mobile,iOS Device
2988018,-5.0,NotFound,mobile safari 10.0,mobile,iOS Device
2988021,-5.0,NotFound,mobile safari 10.0,mobile,iOS Device
2988028,-5.0,Found,chrome 62.0,desktop,Windows
2988033,-10.0,NotFound,chrome 62.0,desktop,Windows
2988038,-10.0,NotFound,chrome 62.0,desktop,Windows
2988062,-70.0,NotFound,chrome 62.0 for android,mobile,Blade V6 Plus Build/MRA58K
2988064,-70.0,NotFound,chrome 62.0 for android,mobile,Blade V6 Plus Build/MRA58K
2988080,-5.0,NotFound,chrome 62.0,desktop,Windows
2988083,0.0,NotFound,chrome 61.0 for android,mobile,SM-J700M Build/MMB29K
2988093,0.0,Found,chrome 62.0 for android,mobile,SM-G530T
2988140,-40.0,NotFound,chrome 61.0 for android,mobile,LGMP260 Build/NRD90U
2988166,-5.0,NotFound,mobile safari 11.0,mobile,iOS Device
2988170,-5.0,NotFound,mobile safari 11.0,mobile,iOS Device
2988171,-5.0,NotFound,chrome 62.0,desktop,Windows
2988177,-5.0,NotFound,firefox 57.0,desktop,Windows
2988182,-5.0,NotFound,chrome 62.0,desktop,Windows
2988192,0.0,NotFound,chrome 62.0 for android,mobile,SM-E500M Build/KTU84P
2988204,-5.0,NotFound,mobile safari 11.0,mobile,iOS Device
2988209,-5.0,NotFound,chrome 62.0,desktop,Windows
2988211,-5.0,Found,chrome 62.0,desktop,Windows
2988221,-5.0,Found,chrome 62.0,desktop,Windows
2988227,0.0,NotFound,ie 11.0 for desktop,desktop,Trident/7.0
2988246,-45.0,NotFound,samsung browser 6.2,mobile,SAMSUNG SM-G950U Build/NRD90M
2988257,-5.0,Found,chrome 62.0,desktop,Windows
2988267,-5.0,Found,chrome 62.0,desktop,Windows
2988304,-5.0,Found,chrome 62.0,desktop,Windows
2988308,-20.0,NotFound,chrome 61.0,desktop,
2988311,-5.0,Found,chrome 62.0,desktop,Windows
2988312,-5.0,NotFound,ie 11.0 for desktop,desktop,Trident/7.0
2988325,-15.0,NotFound,,,
2988339,-10.0,Found,chrome 62.0,desktop,Windows
2988340,-5.0,NotFound,mobile safari 11.0,mobile,iOS Device
2988342,-5.0,Found,mobile safari 11.0,mobile,iOS Device
2988356,-5.0,Found,chrome 62.0,desktop,Windows
2988368,0.0,NotFound,ie 11.0 for desktop,desktop,rv:11.0
2988370,0.0,NotFound,chrome 61.0,desktop,MacOS
2988378,-10.0,Found,chrome 62.0,desktop,Windows
2988380,-5.0,NotFound,edge 15.0,desktop,Windows
2988389,-15.0,NotFound,chrome 62.0,desktop,Windows
2988393,-10.0,NotFound,chrome 62.0,desktop,Windows
2988396,0.0,NotFound,mobile safari 11.0,mobile,iOS Device
2988409,0.0,NotFound,chrome 61.0,mobile,
2988431,-5.0,NotFound,chrome 62.0,desktop,Windows
2988448,-5.0,NotFound,mobile safari 11.0,mobile,iOS Device
2988449,0.0,NotFound,ie 11.0 for desktop,desktop,Trident/7.0
2988451,-5.0,NotFound,chrome 62.0,desktop,Windows
2988469,-5.0,NotFound,chrome 62.0,desktop,Windows
2988475,0.0,NotFound,chrome 62.0,desktop,MacOS
2988484,0.0,NotFound,firefox 57.0,desktop,rv:57.0
2988495,-5.0,Found,edge 15.0,desktop,Windows
2988512,-5.0,NotFound,safari generic,desktop,MacOS
2988513,-5.0,NotFound,chrome 62.0,desktop,Windows
2988535,-5.0,NotFound,chrome 62.0,desktop,MacOS
2988549,0.0,NotFound,chrome 62.0 for android,mobile,SM-G920I Build/NRD90M
2988565,0.0,NotFound,chrome 49.0,desktop,Windows
2988567,-5.0,NotFound,chrome 62.0,desktop,Windows
2988568,-5.0,Found,chrome 62.0,desktop,Windows
2988610,0.0,NotFound,safari generic,desktop,MacOS
2988621,-5.0,NotFound,mobile safari 11.0,mobile,iOS Device
2988622,0.0,NotFound,ie 11.0 for desktop,desktop,Trident/7.0
2988623,-5.0,NotFound,chrome 62.0,desktop,Windows
2988655,-5.0,NotFound,chrome 62.0,desktop,Windows
2988663,-5.0,NotFound,chrome 62.0,desktop,Windows
2988667,-5.0,NotFound,chrome 62.0,desktop,Windows
2988672,-5.0,Found,chrome 62.0,desktop,Windows
2988678,-5.0,Found,chrome 62.0,desktop,Windows
2988686,-25.0,NotFound,mobile safari 11.0,mobile,
2988688,0.0,Found,ie 11.0 for desktop,desktop,Trident/7.0
2988690,-45.0,NotFound,mobile safari 11.0,mobile,iOS Device
2988696,0.0,NotFound,mobile safari 11.0,mobile,iOS Device
2988698,-5.0,NotFound,ie 11.0 for desktop,desktop,rv:11.0
2988701,-5.0,NotFound,chrome 62.0,desktop,Windows
2988702,-20.0,NotFound,mobile safari 11.0,mobile,iOS Device
2988705,-5.0,Found,chrome 49.0,desktop,Windows
2988706,-20.0,Found,mobile safari 11.0,mobile,iOS Device
2988710,-25.0,NotFound,ie 11.0 for desktop,desktop,rv:11.0
2988713,0.0,NotFound,mobile safari 11.0,mobile,iOS Device
2988714,-55.0,NotFound,ie 11.0 for desktop,desktop,Trident/7.0
2988717,-10.0,NotFound,mobile safari generic,mobile,iOS Device
2988719,-5.0,NotFound,mobile safari 10.0,mobile,iOS Device
2988722,-15.0,NotFound,,,
2988737,-20.0,NotFound,ie 11.0 for desktop,desktop,Trident/7.0
2988740,-5.0,NotFound,chrome 62.0,desktop,Windows
2988745,-5.0,NotFound,edge 15.0,desktop,Windows
2988746,-5.0,Found,chrome 62.0,desktop,Windows
2988749,-15.0,NotFound,chrome 62.0,desktop,Windows
2988752,-5.0,NotFound,chrome 62.0,desktop,Windows
2988754,0.0,NotFound,samsung browser 6.2,mobile,SAMSUNG SM-G950U Build/NRD90M
2988755,-10.0,Found,chrome 62.0,desktop,Windows
2988760,0.0,Found,samsung browser 6.2,mobile,SAMSUNG SM-G950U Build/NRD90M
2988763,-90.0,NotFound,mobile safari 11.0,mobile,
2988768,-25.0,NotFound,chrome 62.0,desktop,Windows
2988769,0.0,NotFound,edge 14.0,desktop,Windows
2988778,-5.0,Found,chrome 62.0,desktop,Windows
2988783,-5.0,NotFound,chrome 62.0,desktop,Windows
2988800,0.0,NotFound,chrome 62.0,desktop,MacOS
2988804,-40.0,NotFound,ie 11.0 for desktop,desktop,Trident/7.0
2988812,-5.0,NotFound,chrome 62.0,desktop,Windows
2988813,-5.0,NotFound,chrome 62.0,desktop,Windows
2988823,-15.0,NotFound,chrome 62.0,desktop,Windows
2988824,-10.0,NotFound,ie,desktop,Windows
2988832,-45.0,NotFound,ie 11.0 for desktop,desktop,Windows
2988844,-25.0,NotFound,ie 11.0 for desktop,desktop,rv:11.0
2988855,-5.0,NotFound,firefox 57.0,desktop,Windows
2988863,0.0,NotFound,chrome 62.0,desktop,MacOS
2988869,0.0,Found,samsung browser 6.2,mobile,SAMSUNG SM-G950U Build/NRD90M
2988875,0.0,Found,samsung browser 6.2,mobile,SAMSUNG SM-G950U Build/NRD90M
2988880,-45.0,NotFound,mobile safari 10.0,mobile,iOS Device
2988886,-5.0,NotFound,chrome 49.0,desktop,
2988889,-5.0,NotFound,safari generic,desktop,MacOS
2988893,-5.0,NotFound,chrome 62.0,desktop,Windows
2988894,-45.0,Found,mobile safari 10.0,mobile,iOS Device
2988902,-5.0,NotFound,edge 16.0,desktop,Windows
2988905,-5.0,NotFound,chrome 62.0,desktop,Windows
2988922,0.0,NotFound,chrome 61.0,desktop,MacOS
2988930,-5.0,NotFound,chrome 62.0,desktop,Windows
2988933,-5.0,NotFound,chrome 62.0,desktop,Windows
2988935,-5.0,NotFound,chrome 62.0,desktop,Windows
2988938,-5.0,Found,chrome 62.0,desktop,Windows
2988940,-5.0,NotFound,chrome 62.0,desktop,Windows
2988950,-15.0,NotFound,ie 11.0 for desktop,desktop,Trident/7.0
2988953,-5.0,NotFound,chrome 62.0,desktop,
2988965,-5.0,NotFound,chrome 62.0,desktop,Windows
2988967,-5.0,NotFound,mobile safari 11.0,mobile,iOS Device
2988983,-5.0,NotFound,chrome 62.0,desktop,
2988991,-5.0,NotFound,chrome 62.0,desktop,
2988994,-5.0,NotFound,ie 11.0 for desktop,desktop,rv:11.0
2988997,-5.0,NotFound,mobile safari 11.0,mobile,iOS Device
2989000,-5.0,NotFound,chrome 62.0,desktop,
2989002,0.0,NotFound,edge 14.0,desktop,Windows
2989003,-5.0,NotFound,edge 15.0,desktop,Windows
2989027,-5.0,NotFound,chrome 62.0,desktop,
2989029,-5.0,NotFound,chrome 62.0,desktop,Windows
2989039,-5.0,NotFound,firefox 57.0,desktop,
2989055,-20.0,NotFound,mobile safari 11.0,mobile,
2989066,-5.0,Found,chrome 62.0,desktop,Windows
2989067,0.0,NotFound,ie 11.0 for desktop,desktop,Trident/7.0
2989070,-5.0,NotFound,edge 15.0,desktop,Windows
