TransactionID,isFraud,TransactionAmt,ProductCD,card1,card4,addr1,P_emaildomain
2987117,0,200.0,W,9803,visa,126.0,comcast.net
2987118,0,11.782,C,15885,visa,,anonymous.com
2987119,0,100.0,H,2456,american express,299.0,anonymous.com
2987120,0,59.0,W,9749,visa,436.0,gmail.com
2987121,0,50.0,H,1804,mastercard,181.0,gmail.com
2987122,0,80.0,W,9500,visa,325.0,
2987123,0,59.0,W,6550,visa,299.0,
2987124,0,58.95,W,12873,visa,299.0,yahoo.com
2987125,0,50.0,H,1804,mastercard,181.0,gmail.com
2987126,0,87.95,W,11279,visa,502.0,gmail.com
2987127,0,107.95,W,2704,mastercard,299.0,gmail.com
2987128,0,57.95,W,4106,mastercard,315.0,yahoo.com
2987129,0,50.0,W,8394,visa,325.0,yahoo.com
2987130,0,70.933,C,13329,visa,,gmail.com
2987131,0,444.61,W,18227,visa,325.0,gmail.com
2987132,0,757.07,W,8684,visa,315.0,gmail.com
2987133,0,2594.95,W,14349,mastercard,315.0,gmail.com
2987134,0,117.0,W,8406,visa,476.0,gmail.com
2987135,0,3000.0,W,2616,discover,330.0,gmail.com
2987136,0,30.0,W,2392,mastercard,269.0,
2987137,0,56.95,W,1675,visa,330.0,yahoo.com
2987138,0,100.0,H,16075,mastercard,184.0,yahoo.com
2987139,0,129.299,C,9026,visa,,prodigy.net.mx
2987140,0,208.43,W,9992,mastercard,158.0,gmail.com
2987141,0,200.0,R,8194,visa,272.0,anonymous.com
2987142,0,23.806,C,15885,visa,,anonymous.com
2987143,0,100.0,W,1764,visa,315.0,gmail.com
2987144,0,200.0,R,8194,visa,272.0,anonymous.com
2987145,0,100.0,R,8260,american express,433.0,anonymous.com
2987146,0,23.806,C,15885,visa,,anonymous.com
2987147,0,25.95,W,11279,visa,502.0,gmail.com
2987148,0,30.0,H,14858,visa,325.0,yahoo.com
2987149,0,43.95,W,12873,visa,299.0,yahoo.com
2987150,0,117.0,W,12695,visa,330.0,hotmail.com
2987151,0,49.0,W,12577,visa,184.0,gmail.com
2987152,0,587.82,W,14349,mastercard,315.0,gmail.com
2987153,0,29.0,W,14165,mastercard,181.0,me.com
2987154,0,35.95,W,14605,visa,330.0,gmail.com
2987155,0,479.95,W,6053,mastercard,299.0,yahoo.com
2987156,0,50.0,R,3334,visa,126.0,comcast.net
2987157,0,30.0,W,14025,visa,143.0,
2987158,0,171.0,W,10023,visa,325.0,gmail.com
2987159,0,92.95,W,17188,visa,299.0,anonymous.com
2987160,0,29.0,W,8431,mastercard,251.0,
2987161,0,107.95,W,9500,visa,204.0,gmail.com
2987162,0,100.0,W,15651,visa,330.0,gmail.com
2987163,0,973.95,W,17188,visa,299.0,yahoo.com
2987164,0,34.0,W,13641,visa,231.0,gmail.com
2987165,0,39.0,W,1974,visa,204.0,
2987166,0,26.5,W,11919,mastercard,264.0,gmail.com
2987167,0,100.0,H,6019,visa,325.0,optonline.net
2987168,0,36.95,W,15497,visa,299.0,yahoo.com
2987169,0,100.0,W,6951,visa,441.0,yahoo.com
2987170,0,20.0,W,10989,visa,126.0,gmail.com
2987171,0,34.0,W,3570,visa,299.0,yahoo.com
2987172,0,159.95,W,7063,mastercard,315.0,yahoo.com
2987173,0,25.0,H,4436,visa,184.0,gmail.com
2987174,0,107.95,W,9500,visa,204.0,gmail.com
2987175,0,117.0,W,18227,visa,325.0,hotmail.com
2987176,0,39.0,W,15066,mastercard,204.0,
2987177,0,306.47,W,16132,visa,299.0,yahoo.com
2987178,0,445.0,W,14290,visa,225.0,gmail.com
2987179,0,424.95,W,15497,visa,299.0,gmail.com
2987180,0,83.95,W,4348,visa,205.0,yahoo.com
2987181,0,171.0,W,16632,mastercard,299.0,gmail.com
2987182,0,311.95,W,15497,visa,299.0,
2987183,0,200.0,H,10047,visa,204.0,embarqmail.com
2987184,0,112.99,W,7508,visa,264.0,gmail.com
2987185,0,359.91,W,6209,mastercard,299.0,
2987186,0,117.0,W,3278,visa,272.0,gmail.com
2987187,0,50.0,W,16930,visa,143.0,
2987188,0,12.0,S,12866,visa,330.0,
2987189,0,57.399,C,8755,mastercard,,gmail.com
2987190,0,32.325,C,5458,mastercard,,hotmail.com
2987191,0,26.5,W,13886,visa,264.0,gmail.com
2987192,0,5.982,C,3154,mastercard,,anonymous.com
2987193,0,28.699,C,4504,mastercard,,hotmail.com
2987194,0,1486.44,W,11556,visa,181.0,comcast.net
2987195,0,59.0,W,17400,visa,269.0,icloud.com
2987196,0,8.641,C,2115,mastercard,,anonymous.com
2987197,0,66.0,H,7826,mastercard,325.0,aol.com
2987198,0,15.0,H,2884,visa,325.0,gmail.com
2987199,0,19.455,C,15885,visa,,live.com.mx
2987200,0,34.0,W,12577,visa,184.0,gmail.com
2987201,0,2547.46,W,11106,visa,204.0,gmail.com
2987202,0,47.95,W,5254,visa,330.0,gmail.com
2987203,1,445.0,W,18268,visa,251.0,aol.com
2987204,0,47.95,W,13366,visa,337.0,gmail.com
2987205,0,28.699,C,1085,mastercard,,hotmail.com
2987206,0,39.0,W,6621,visa,492.0,yahoo.com
2987207,0,25.0,H,6019,visa,299.0,yahoo.com
2987208,0,120.95,W,5433,visa,143.0,yahoo.com
2987209,0,21.993,C,10876,visa,,anonymous.com
2987210,0,2948.95,W,15451,visa,299.0,yahoo.com
2987211,0,15.0,H,6019,visa,264.0,gmail.com
2987212,0,117.0,W,2560,visa,264.0,yahoo.com
2987213,0,499.95,W,6957,visa,272.0,gmail.com
2987214,0,99.0,W,5033,mastercard,337.0,aol.com
2987215,0,209.95,W,9002,visa,264.0,icloud.com
2987216,0,100.0,W,10057,mastercard,315.0,
2987217,0,15.0,W,14637,mastercard,387.0,gmail.com
2987218,0,117.0,W,12469,mastercard,330.0,gmail.com
2987219,0,50.0,W,10027,visa,123.0,gmail.com
2987220,0,49.0,W,14290,visa,177.0,gmail.com
2987221,0,68.5,W,12469,mastercard,251.0,gmail.com
2987222,0,590.4,W,6832,visa,472.0,icloud.com
2987223,0,54.0,W,2616,discover,337.0,
2987224,0,67.95,W,16075,mastercard,264.0,
2987225,0,43.0,W,9500,visa,126.0,aol.com
2987226,0,39.0,W,6755,mastercard,299.0,gmail.com
2987227,0,1973.0,W,11839,visa,512.0,gmail.com
2987228,0,75.0,W,7664,visa,264.0,yahoo.com
2987229,0,49.0,W,18249,mastercard,204.0,gmail.com
2987230,0,107.95,W,6170,visa,315.0,yahoo.com
2987231,0,474.95,W,4591,visa,315.0,yahoo.com
2987232,0,25.95,W,14502,visa,143.0,yahoo.com
2987233,0,116.0,W,5033,mastercard,337.0,gmail.com
2987234,0,150.5,W,16132,visa,420.0,
2987235,0,50.0,W,13734,visa,337.0,
2987236,0,30.0,H,10023,visa,325.0,yahoo.com
2987237,0,200.0,W,14290,visa,315.0,yahoo.com
2987238,0,226.0,W,17188,visa,299.0,
2987239,0,171.0,W,10616,visa,204.0,gmail.com
2987240,1,37.098,C,13413,visa,,hotmail.com
2987241,0,250.0,W,5567,visa,315.0,hotmail.com
2987242,0,24.95,W,2019,mastercard,299.0,gmail.com
2987243,1,37.098,C,13413,visa,,hotmail.com
2987244,0,15.0,W,9175,visa,126.0,gmail.com
2987245,1,37.098,C,13413,visa,,hotmail.com
2987246,0,50.0,W,17400,visa,269.0,icloud.com
2987247,0,58.95,W,15757,visa,310.0,gmail.com
2987248,0,50.0,H,11660,visa,181.0,yahoo.com
2987249,0,78.95,W,12544,visa,337.0,gmail
2987250,0,289.95,W,7861,visa,327.0,gmail.com
2987251,0,100.0,W,10057,mastercard,315.0,
2987252,0,48.638,C,2115,mastercard,,anonymous.com
2987253,0,200.0,W,4184,mastercard,485.0,
2987254,0,54.5,W,17598,visa,330.0,live.com
2987255,0,54.0,W,9500,visa,204.0,hotmail.com
2987256,0,108.95,W,9653,visa,299.0,gmail.com
2987257,0,2038.95,W,18320,mastercard,512.0,
2987258,0,48.638,C,2115,mastercard,,anonymous.com
2987259,0,42.596,C,16346,visa,,hotmail.com
2987260,0,34.5,W,10882,mastercard,327.0,gmail.com
2987261,0,59.0,W,10049,visa,191.0,
2987262,0,55.829,C,9300,visa,,anonymous.com
2987263,0,385.78,W,15066,mastercard,264.0,yahoo.com
2987264,0,48.95,W,1804,mastercard,123.0,
2987265,0,50.0,H,17400,visa,123.0,icloud.com
2987266,0,48.578,C,4461,mastercard,,live.com.mx
2987267,0,29.0,W,12577,visa,325.0,
2987268,0,30.95,W,12839,visa,264.0,anonymous.com
2987269,0,25.0,W,4921,visa,184.0,
2987270,0,50.0,H,17400,visa,123.0,icloud.com
2987271,0,50.0,R,9596,mastercard,184.0,comcast.net
2987272,0,25.0,W,11204,visa,272.0,gmail.com
2987273,0,200.0,H,15063,visa,299.0,gmail.com
2987274,0,222.0,W,10112,visa,512.0,hotmail.com
2987275,0,25.0,H,1724,visa,299.0,gmail.com
2987276,0,450.95,W,10486,mastercard,191.0,
2987277,0,30.0,W,3821,mastercard,315.0,yahoo.com
2987278,0,120.95,W,5433,visa,143.0,yahoo.com
2987279,0,59.0,W,10023,visa,325.0,gmail.com
2987280,0,50.0,W,5653,visa,204.0,yahoo.com
2987281,0,30.0,S,5017,visa,330.0,
2987282,0,50.0,W,2884,visa,512.0,gmail.com
2987283,0,57.95,W,5345,visa,325.0,gmail.com
2987284,0,18.73,C,7698,visa,,gmail.com
2987285,0,34.0,W,10520,mastercard,299.0,gmail.com
2987286,0,72.99,W,7585,visa,204.0,aol.com
2987287,0,25.014,C,7794,mastercard,,gmail.com
2987288,1,155.521,C,16578,visa,,outlook.com
2987289,0,107.95,W,15268,visa,433.0,
2987290,0,30.0,W,14280,visa,315.0,gmail.com
2987291,0,26.5,W,3090,visa,181.0,gmail.com
2987292,0,15.0,W,8691,visa,476.0,
2987293,0,117.0,W,17188,visa,299.0,gmail.com
2987294,0,59.0,W,1675,visa,330.0,gmail.com
2987295,0,112.0,W,6530,mastercard,308.0,gmail.com
2987296,0,160.5,W,9803,visa,420.0,gmail.com
2987297,0,200.0,W,2647,visa,143.0,att.net
2987298,0,107.95,W,17868,visa,472.0,
2987299,0,72.99,W,15742,visa,204.0,aol.com
2987300,0,48.638,C,2115,mastercard,,hotmail.com
2987301,0,20.905,C,9633,visa,,hotmail.com
2987302,0,48.638,C,2115,mastercard,,hotmail.com
2987303,0,1351.55,W,11106,visa,337.0,gmail.com
2987304,0,554.0,W,8528,visa,251.0,hotmail.com
2987305,0,48.638,C,2115,mastercard,,anonymous.com
2987306,0,20.0,W,12695,visa,325.0,gmail.com
2987307,0,159.95,W,12581,visa,418.0,aol.com
2987308,0,25.95,W,5033,mastercard,441.0,gmail.com
2987309,0,25.95,W,1974,visa,494.0,gmail.com
2987310,0,105.0,W,7585,visa,472.0,gmail.com
2987311,0,50.0,H,16984,american express,264.0,juno.com
2987312,0,25.0,W,10057,mastercard,181.0,ymail.com
2987313,0,83.95,W,3682,visa,512.0,gmail.com
2987314,0,54.0,W,16916,mastercard,181.0,gmail.com
2987315,0,364.95,W,15813,visa,441.0,
2987316,0,19.576,C,15885,visa,,gmail.com
2987317,0,335.0,W,11410,mastercard,472.0,icloud.com
2987318,0,39.0,W,14079,mastercard,123.0,
2987319,0,300.0,R,15063,visa,325.0,gmail.com
2987320,0,82.95,W,7585,visa,264.0,aol.com
2987321,0,108.5,W,9485,visa,,gmail.com
2987322,0,219.95,W,11972,visa,181.0,yahoo.com
2987323,0,107.95,W,15986,mastercard,251.0,yahoo.com
2987324,0,412.73,W,10616,visa,299.0,gmail.com
2987325,0,354.95,W,16326,visa,264.0,aol.com
2987326,0,107.95,W,9440,mastercard,253.0,anonymous.com
2987327,0,125.0,H,16659,visa,264.0,gmail.com
2987328,0,16.857,C,3154,mastercard,,gmail.com
2987329,0,160.5,W,2392,mastercard,472.0,gmail.com
2987330,0,25.0,W,12544,visa,337.0,hotmail.com
2987331,0,105.95,W,15232,visa,315.0,yahoo.com
2987332,0,100.0,R,9500,visa,251.0,gmail.com
2987333,0,30.0,H,15497,visa,299.0,yahoo.com
2987334,0,524.0,W,2803,visa,330.0,gmail.com
2987335,0,100.0,R,9500,visa,251.0,gmail.com
2987336,0,100.0,R,9500,visa,251.0,gmail.com
2987337,0,50.0,H,15497,visa,264.0,gmail.com
2987338,0,100.0,R,9500,visa,251.0,gmail.com
2987339,0,33.25,W,14042,mastercard,327.0,yahoo.com
2987340,0,157.95,W,17399,mastercard,204.0,yahoo.com
2987341,0,648.95,W,2803,visa,272.0,gmail.com
2987342,0,335.0,W,6927,mastercard,122.0,gmail.com
2987343,0,57.95,W,17399,mastercard,204.0,yahoo.com
2987344,0,117.0,W,1692,mastercard,428.0,hotmail.com
2987345,0,711.93,W,9561,visa,433.0,
2987346,0,107.95,W,10269,visa,315.0,anonymous.com
2987347,0,60.0,W,12839,visa,264.0,gmail.com
2987348,0,59.0,W,10616,visa,231.0,sbcglobal.net
2987349,0,59.0,W,3178,visa,299.0,ymail.com
2987350,0,26.5,W,3090,visa,181.0,gmail.com
2987351,0,35.95,W,14079,mastercard,485.0,
2987352,0,26.947,C,10568,visa,,gmail.com
2987353,0,500.0,W,6741,visa,325.0,gmail.com
2987354,0,58.0,W,2803,visa,184.0,yahoo.com
2987355,0,500.0,R,3869,american express,327.0,comcast.net
2987356,0,209.95,W,9112,visa,441.0,aol.com
2987357,0,25.0,W,15205,visa,327.0,gmail.com
2987358,0,59.0,W,11925,visa,512.0,gmail.com
2987359,0,107.95,W,10269,visa,315.0,anonymous.com
2987360,0,226.0,W,2616,discover,251.0,gmail.com
2987361,0,500.0,R,3869,american express,327.0,comcast.net
2987362,0,462.95,W,10486,mastercard,299.0,anonymous.com
2987363,0,29.5,W,9500,visa,204.0,gmail.com
2987364,0,161.0,W,11162,mastercard,299.0,gmail.com
2987365,0,103.95,W,16065,mastercard,203.0,yahoo.com
2987366,0,20.0,S,16347,mastercard,330.0,
2987367,1,225.0,R,4425,mastercard,472.0,gmail.com
2987368,0,7.372,C,8755,mastercard,,hotmail.com
2987369,0,30.95,W,1832,mastercard,191.0,gmail.com
2987370,0,160.5,W,9803,visa,420.0,gmail.com
2987371,0,44.0,W,3084,visa,315.0,
2987372,0,70.0,W,7585,visa,330.0,aol.com
2987373,0,36.95,W,7005,visa,310.0,yahoo.com
2987374,0,500.0,R,3869,american express,327.0,comcast.net
2987375,0,25.95,W,15989,visa,177.0,gmail.com
2987376,0,30.0,H,5097,visa,272.0,gmail.com
2987377,0,159.95,W,8088,visa,204.0,yahoo.com
2987378,0,29.0,W,10682,mastercard,299.0,yahoo.com
2987379,0,209.95,W,8691,visa,476.0,gmail.com
2987380,0,28.639,C,15885,visa,,hotmail.com
2987381,0,24.5,W,18249,mastercard,315.0,gmail.com
2987382,0,27.5,W,2544,visa,325.0,yahoo.com
2987383,0,40.0,W,18132,mastercard,512.0,juno.com
2987384,0,57.822,C,10876,visa,,hotmail.com
2987385,0,15.95,W,1832,mastercard,191.0,gmail.com
2987386,0,43.019,C,7585,visa,,yahoo.com
2987387,0,40.0,H,2803,visa,315.0,gmail.com
2987388,0,22.97,W,15989,visa,177.0,gmail.com
2987389,0,150.0,H,3821,mastercard,492.0,yahoo.com
2987390,0,20.0,H,3682,visa,337.0,hotmail.com
2987391,0,107.95,W,15497,visa,299.0,hotmail.com
2987392,0,50.0,W,8528,visa,387.0,yahoo.com
2987393,0,59.0,W,3189,visa,251.0,
2987394,0,344.95,W,17188,visa,299.0,gmail.com
2987395,0,59.0,W,1894,mastercard,226.0,yahoo.com
2987396,0,240.95,W,6832,visa,299.0,yahoo.com
2987397,0,50.0,W,6872,visa,476.0,yahoo.com
2987398,0,15.468,C,4461,mastercard,,hotmail.com
2987399,0,54.29,W,2803,visa,343.0,
2987400,0,129.95,W,4737,mastercard,264.0,
2987401,0,250.0,W,11652,visa,184.0,hotmail.com
2987402,0,49.0,W,8117,visa,204.0,yahoo.com
2987403,0,311.95,W,7585,visa,204.0,gmail.com
2987404,0,50.0,H,5938,visa,126.0,gmail.com
2987405,1,90.57,C,4504,mastercard,,gmail.com
2987406,0,50.0,H,16751,visa,231.0,yahoo.com
2987407,0,500.0,W,6741,visa,325.0,gmail.com
2987408,0,50.0,H,16751,visa,231.0,yahoo.com
2987409,0,210.95,W,17188,visa,299.0,anonymous.com
2987410,0,54.5,W,13528,visa,143.0,yahoo.com
2987411,0,40.0,W,2392,mastercard,177.0,
2987412,0,35.044,C,5812,mastercard,,gmail.com
2987413,0,47.95,W,7664,visa,264.0,
2987414,0,34.95,W,12850,visa,387.0,yahoo.com
2987415,0,60.0,W,7585,visa,315.0,charter.net
2987416,0,35.0,H,11920,visa,264.0,hotmail.com
2987417,0,315.0,W,4557,visa,123.0,yahoo.com
2987418,0,49.0,W,2392,mastercard,177.0,
2987419,0,25.0,W,10150,mastercard,433.0,bellsouth.net
2987420,0,200.0,W,4310,visa,325.0,live.com
2987421,0,107.95,W,17188,visa,299.0,
2987422,0,39.0,W,15497,visa,299.0,gmail.com
2987423,0,29.95,W,10267,visa,204.0,gmail.com
2987424,0,1472.47,W,3278,visa,272.0,gmail.com
2987425,0,30.0,H,15066,mastercard,330.0,aol.com
2987426,0,226.0,W,15813,visa,441.0,
2987427,0,100.0,W,15773,mastercard,325.0,gmail.com
2987428,0,222.48,W,15066,mastercard,181.0,gmail.com
2987429,0,7.493,C,9300,visa,,gmail.com
2987430,0,53.95,W,1906,mastercard,123.0,gmail.com
2987431,0,164.95,W,15066,mastercard,330.0,gmail.com
2987432,0,57.95,W,12686,visa,264.0,yahoo.com
2987433,0,100.0,R,17364,american express,299.0,anonymous.com
2987434,0,50.0,H,4097,visa,264.0,hotmail.com
2987435,0,25.0,H,10616,visa,315.0,yahoo.com
2987436,0,100.0,W,15063,visa,299.0,yahoo.com
2987437,0,100.0,H,6019,visa,315.0,gmail.com
2987438,0,12.326,C,15885,visa,,hotmail.com
2987439,0,66.885,C,12730,mastercard,,outlook.com
2987440,0,100.0,W,10486,mastercard,441.0,aol.com
2987441,0,107.95,W,14858,visa,325.0,aol.com
2987442,0,3162.95,W,1893,mastercard,441.0,anonymous.com
2987443,0,32.325,C,5046,visa,,hotmail.com
2987444,0,2267.47,W,11207,visa,325.0,me.com
2987445,0,30.0,W,16661,visa,327.0,
2987446,0,50.0,R,13249,visa,264.0,att.net
2987447,0,59.0,W,12219,visa,441.0,yahoo.com
2987448,0,24.0,W,8320,visa,469.0,gmail.com
2987449,0,200.0,H,5734,visa,325.0,gmail.com
2987450,0,15.0,W,6550,visa,441.0,yahoo.com
2987451,0,59.0,W,6344,discover,264.0,aol.com
2987452,0,68.95,W,2803,visa,299.0,yahoo.com
2987453,0,30.0,W,7511,visa,181.0,comcast.net
2987454,0,59.0,W,11157,visa,204.0,hotmail.com
2987455,0,150.0,H,7508,visa,110.0,msn.com
2987456,0,7.251,C,4461,mastercard,,outlook.com
2987457,0,50.0,H,3682,visa,512.0,comcast.net
2987458,0,3162.95,W,1893,mastercard,441.0,anonymous.com
2987459,0,43.97,W,6019,visa,204.0,yahoo.com
2987460,0,88.0,W,14858,visa,272.0,yahoo.com
2987461,0,7.0,S,10616,visa,299.0,
2987462,0,150.0,H,7508,visa,110.0,msn.com
2987463,0,100.0,H,6004,mastercard,436.0,gmail.com
2987464,0,146.0,W,2336,visa,327.0,gmail.com
2987465,0,16.313,C,15885,visa,,gmail.com
2987466,0,50.0,R,2803,visa,337.0,yahoo.com
2987467,0,75.0,H,3682,visa,315.0,yahoo.com
2987468,0,200.0,W,1214,visa,181.0,yahoo.com
2987469,0,40.0,S,15066,mastercard,330.0,
2987470,0,58.95,W,10960,mastercard,191.0,gmail.com
2987471,0,30.95,W,18132,mastercard,441.0,gmail.com
2987472,0,140.0,W,13481,mastercard,325.0,yahoo.com
2987473,0,58.95,W,17131,mastercard,264.0,yahoo.com
2987474,0,82.95,W,2845,mastercard,315.0,
2987475,0,67.95,W,15066,mastercard,184.0,yahoo.com
2987476,0,37.763,C,7585,visa,,hotmail.com
2987477,0,100.0,W,3570,visa,299.0,yahoo.com
2987478,0,335.0,W,11199,mastercard,325.0,yahoo.com
2987479,0,57.95,W,12839,visa,264.0,yahoo.com
2987480,0,59.0,W,10486,mastercard,204.0,aol.com
2987481,0,109.0,W,16075,mastercard,123.0,gmail.com
2987482,0,25.0,H,16873,visa,315.0,gmail.com
2987483,0,68.95,W,2803,visa,299.0,yahoo.com
2987484,0,31.95,W,11207,visa,204.0,
2987485,0,25.0,H,18092,visa,204.0,gmail.com
2987486,0,20.0,W,2392,mastercard,272.0,gmail.com
2987487,0,59.0,W,12598,visa,299.0,gmail.com
2987488,0,15.105,C,15885,visa,,hotmail.com
2987489,0,8.7,C,3154,mastercard,,gmail.com
2987490,0,100.0,H,6019,visa,264.0,yahoo.com
2987491,0,150.0,W,14035,visa,327.0,
2987492,0,350.23,W,5613,visa,204.0,gmail.com
2987493,0,200.0,W,16132,visa,299.0,gmail.com
2987494,0,303.95,W,14823,visa,315.0,yahoo.com
2987495,0,250.0,W,8394,visa,325.0,gmail.com
2987496,0,107.95,W,17129,visa,444.0,yahoo.com
2987497,0,39.0,W,12686,visa,498.0,sbcglobal.net
2987498,0,100.0,W,7377,mastercard,204.0,gmail.com
